TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
1950,King Princess,2018-02-23,72,54,60,-7,27,225,65,77
5:32pm,The Deli,2016-10-17,86,19,69,-14,55,137,69,71
7 rings,Ariana Grande,2019-02-08,140,32,78,-11,33,179,59,87
Afterglow,Taylor Swift,2019-08-23,111,45,76,-9,40,223,13,71
Alexander Hamilton,Leslie Odom Jr.,2015-09-25,132,44,61,-8,56,237,52,70
All (feat. Natalie Prass),Cherub,2013-10-11,108,40,89,-7,87,234,70,45
All My Worry,Kate York,2016-06-15,119,9,54,-17,34,257,93,31
All the Ways - Branchez Remix,Wet,2016-04-02,112,58,70,-7,22,215,11,44
All These Years,Camila Cabello,2018-01-12,95,44,73,-7,48,164,61,66
Almost Idyllic,Sleeping At Last,2015-06-23,78,11,24,-18,11,136,98,44
Another Day Of Sun,La La Land Cast,2016-12-09,126,74,59,-7,82,228,2,66
Arms,The Paper Kites,2018-04-18,150,14,41,-19,24,204,93,64
Around,NIKI,2018-05-23,130,13,49,-16,15,184,89,62
Around,NIKI,2018-05-23,130,13,49,-16,15,184,89,0
Ashley Ave,SondorBlue,2017-08-18,169,35,49,-9,43,299,20,17
Aspirin,Phoebe Ryan,2017-10-27,95,59,38,-5,33,238,3,30
Autumn Breeze,Jida,2016-10-20,76,55,51,-8,36,223,93,3
Away From Me,CHINAH,2016-02-11,128,29,47,-10,7,236,67,44
Baby,Francesca Blanchard,2019-07-19,76,40,72,-9,44,223,13,41
Bad Boy,Red Velvet,2018-01-29,150,74,71,-4,81,211,19,72
Bad Boy - (English Version) [Bonus Track],Red Velvet,2018-08-06,150,73,72,-5,84,209,21,61
bad idea,Ariana Grande,2019-02-08,138,58,85,-5,57,267,3,71
"Barcarolle No. 4 in A-Flat Major, Op. 44",Gabriel Fauré,2017-06-09,74,2,20,-33,10,266,99,2
baseball,Hippo Campus,2017-09-12,112,92,60,-4,58,198,0,61
Beautiful Wreck,MØ,2018-10-19,114,50,68,-6,51,229,29,51
Bedroom,Litany,2017-06-07,185,45,69,-8,62,187,4,62
bellyache,Billie Eilish,2017-02-24,100,57,70,-9,41,179,46,78
Best I Ever Had,Drake,2010-01-01,162,89,43,-3,60,259,10,69
better off,Ariana Grande,2018-08-17,93,52,60,-7,5,171,22,67
Big Black Car,Gregory Alan Isakov,2009-05-15,110,18,57,-16,40,217,90,65
Black Diamond,Half Moon Run,2019-11-01,114,61,65,-9,49,179,7,35
Blah Blah Blues,Charlie Lim,2016-07-22,105,39,43,-10,21,296,73,32
bloodline,Ariana Grande,2019-02-08,152,67,76,-5,64,217,8,72
Blue,Samuel Larsen,2017-02-14,204,23,55,-7,46,194,28,38
Blue Hundreds,Holy Mattress Money,2017-09-11,110,51,80,-7,68,216,37,45
Body,Wet,2016-01-29,112,49,62,-9,25,257,55,38
Body - Late Nite Version,Loud Luxury,2018-02-26,113,48,74,-9,41,188,27,0
Borderline - Vanic Remix,Tove Styrke,2015-03-31,160,95,41,-4,46,257,1,60
Bored,Billie Eilish,2017-03-30,120,32,61,-13,11,181,90,75
boyfriend (with Social House),Ariana Grande,2019-08-02,190,78,51,-4,70,186,8,52
Break,Rebecca Roubion,2014-04-08,107,8,46,-13,6,235,96,0
"break up with your girlfriend, i'm bored",Ariana Grande,2019-02-08,170,55,73,-5,34,190,4,81
Breakaway,Lennon Stella,2018-11-17,164,36,69,-11,28,227,42,59
