TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020-04-29,84,74,82,-5,64,242,2,92
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-04-17,90,69,75,-8,50,182,25,98
Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,123,86,67,-4,65,182,2,94
Break My Heart,Dua Lipa,2020-03-25,113,73,73,-3,47,222,17,89
Watermelon Sugar,Harry Styles,2019-12-13,95,82,55,-4,56,174,12,87
Supalonely,BENEE,2019-11-15,129,63,86,-5,82,223,31,95
ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,112,77,67,-8,33,177,7,94
Stuck with U (with Justin Bieber),Ariana Grande,2020-05-08,179,45,60,-7,54,228,22,94
TKN (feat. Travis Scott),ROSALÍA,2020-05-28,95,51,78,-6,49,129,19,86
Tell Me U Luv Me (with Trippie Redd),Juice WRLD,2020-05-29,128,76,61,-6,38,180,30,82
Lose Somebody,Kygo,2020-05-15,148,59,58,-7,51,200,34,87
Party Girl,StaySolidRocky,2020-04-21,130,43,73,-10,63,148,75,92
Roses - Imanbek Remix,SAINt JHN,2019-10-09,122,72,77,-5,90,177,2,97
Sour Candy (with BLACKPINK),Lady Gaga,2020-05-28,120,87,75,-4,78,158,6,86
Be Kind (with Halsey),Marshmello,2020-05-01,94,63,63,-7,45,173,1,91
Blinding Lights,The Weeknd,2019-11-29,171,80,51,-4,35,202,0,79
Toosie Slide,Drake,2020-04-03,82,45,83,-10,84,247,32,96
Intentions,Justin Bieber,2020-02-07,148,55,81,-7,86,213,32,90
Breaking Me,Topic,2019-12-19,122,72,79,-6,66,167,22,92
Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,111,64,86,-5,75,206,12,90
Play Date,Melanie Martinez,2015-08-14,124,73,68,-5,45,180,61,91
death bed (coffee for your head) (feat. beabadoobee),Powfu,2020-02-08,144,43,73,-9,35,173,73,98
Sunday Best,Surfaces,2019-01-06,112,53,88,-7,69,159,18,94
In Your Eyes,The Weeknd,2020-03-20,100,72,67,-5,72,238,0,91
MAMACITA,Black Eyed Peas,2020-04-10,105,64,89,-7,43,249,19,88
Deep End Freestyle,Sleepy Hallow,2020-04-03,134,48,88,-7,78,115,70,86
Blueberry Faygo,Lil Mosey,2020-02-07,99,55,77,-8,35,163,21,92
Kings & Queens,Ava Max,2020-03-12,130,69,64,-4,43,162,1,87
Secrets,Regard,2020-04-24,119,77,85,-5,78,177,4,82
THE SCOTTS,THE SCOTTS,2020-04-24,130,54,72,-8,28,166,23,96
Boss Bitch,Doja Cat,2020-01-23,126,96,71,-5,57,134,13,92
Daisies,Katy Perry,2020-05-15,122,55,64,-5,15,173,8,86
Don't Start Now,Dua Lipa,2019-10-31,124,79,79,-5,68,183,1,93
Rover (feat. DTG),S1mba,2020-03-04,63,62,61,-7,80,168,50,84
Falling,Trevor Daniel,2018-10-05,127,43,78,-9,24,159,12,92
The Box,Roddy Ricch,2019-12-06,117,59,90,-7,64,197,10,96
After Party,Don Toliver,2020-03-13,163,69,63,-8,45,168,1,90
Know Your Worth,Khalid,2020-02-04,103,69,79,-8,51,181,14,87
Control,Zoe Wees,2020-03-13,114,47,60,-5,7,231,64,74
IDK You Yet,Alexander 23,2020-04-09,77,31,63,-12,19,185,88,84
This City,Sam Fischer,2019-12-11,74,38,60,-6,52,195,73,86
WHATS POPPIN,Jack Harlow,2020-01-21,145,60,92,-7,83,140,2,61
Life Is Good (feat. Drake),Future,2020-01-10,142,61,68,-6,51,238,7,91
I’m Ready (with Demi Lovato),Sam Smith,2020-04-16,155,67,50,-6,15,201,0,87
Before You Go,Lewis Capaldi,2019-11-19,112,57,46,-5,18,215,60,88
ROXANNE,Arizona Zervas,2019-10-10,117,60,62,-6,46,164,5,93
Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,84,74,87,-5,65,173,27,89
Yo Perreo Sola,Bad Bunny,2020-02-28,97,76,86,-5,45,172,2,92
Selfish,Madison Beer,2020-02-14,75,46,38,-6,23,223,63,86
BELIEVE IT,PARTYNEXTDOOR,2020-03-27,158,70,43,-5,73,183,9,87
